Site,X1,X2,X3,Species
805,0,1,0,bobcat
806,0,1,1,bobcat
807,0,1,0,bobcat
808,0,0,1,bobcat
809,0,0,0,bobcat
810,0,0,0,bobcat
811,0,0,0,bobcat
812,0,0,0,bobcat
813,0,0,0,bobcat
814,0,0,1,bobcat
815,0,0,0,bobcat
816,1,1,0,bobcat
817,1,0,0,bobcat
818,1,1,1,bobcat
819,0,0,0,bobcat
820,0,0,0,bobcat
821,1,0,0,bobcat
822,1,0,0,bobcat
823,0,0,0,bobcat
824,1,1,0,bobcat
825,0,0,1,bobcat
826,0,0,0,bobcat
827,0,1,0,bobcat
828,0,0,0,bobcat
829,0,0,0,bobcat
830,0,0,0,bobcat
831,0,0,0,bobcat
832,0,1,0,bobcat
833,0,0,0,bobcat
834,0,0,0,bobcat
835,0,0,1,bobcat
836,0,0,0,bobcat
837,0,0,0,bobcat
838,0,0,0,bobcat
839,0,0,0,bobcat
840,0,0,0,bobcat
841,0,0,0,bobcat
842,0,0,0,bobcat
843,0,0,0,bobcat
844,0,0,1,bobcat
845,0,0,0,bobcat
846,0,0,0,bobcat
847,0,0,0,bobcat
848,0,0,0,bobcat
849,0,0,0,bobcat
850,0,0,0,bobcat
851,0,0,1,bobcat
852,0,0,0,bobcat
853,0,0,0,bobcat
854,0,0,0,bobcat
855,0,0,0,bobcat
856,0,0,0,bobcat
857,0,0,0,bobcat
858,0,0,0,bobcat
859,0,0,0,bobcat
860,0,0,0,bobcat
861,0,0,0,bobcat
862,0,0,0,bobcat
863,0,0,0,bobcat
864,0,0,0,bobcat
865,0,0,1,bobcat
866,0,0,0,bobcat
867,0,0,0,bobcat
868,0,0,0,bobcat
869,0,0,0,bobcat
870,0,0,0,bobcat
871,0,0,0,bobcat
872,0,0,0,bobcat
873,0,0,0,bobcat
874,0,0,0,bobcat
875,0,0,0,bobcat
876,0,0,0,bobcat
877,0,0,0,bobcat
878,0,0,0,bobcat
879,0,0,0,bobcat
880,0,0,0,bobcat
881,0,0,0,bobcat
882,0,0,0,bobcat
883,1,0,0,bobcat
884,0,0,0,bobcat
885,0,0,0,bobcat
886,0,0,1,bobcat
887,0,1,0,bobcat
888,0,0,0,bobcat
889,0,1,0,bobcat
890,0,0,0,bobcat
891,0,0,0,bobcat
892,0,0,0,bobcat
893,0,0,0,bobcat
894,0,0,1,bobcat
895,0,0,0,bobcat
896,0,0,1,bobcat
897,0,0,0,bobcat
898,0,0,0,bobcat
899,0,0,0,bobcat
900,1,0,0,bobcat
901,0,0,0,bobcat
902,1,1,0,bobcat
903,1,1,1,bobcat
904,0,0,1,bobcat
905,1,1,0,bobcat
906,0,0,0,bobcat
907,0,1,0,bobcat
908,0,0,0,bobcat
909,0,0,0,bobcat
910,0,0,0,bobcat
911,0,1,0,bobcat
912,1,0,0,bobcat
913,0,0,0,bobcat
914,0,0,0,bobcat
915,0,0,0,bobcat
916,0,0,1,bobcat
917,0,0,1,bobcat
918,1,0,1,bobcat
919,0,1,1,bobcat
920,0,0,0,bobcat
921,0,0,0,bobcat
922,1,0,0,bobcat
923,0,0,0,bobcat
924,1,0,0,bobcat
925,0,0,0,bobcat
926,0,0,0,bobcat
927,0,0,0,bobcat
928,0,0,0,bobcat
929,0,0,0,bobcat
930,0,0,0,bobcat
931,0,0,0,bobcat
932,0,0,0,bobcat
933,0,0,0,bobcat
934,0,0,0,bobcat
935,0,0,0,bobcat
936,0,0,0,bobcat
937,0,0,0,bobcat
938,1,0,0,bobcat
939,0,0,0,bobcat
940,0,0,0,bobcat
941,0,0,0,bobcat
942,0,0,0,bobcat
943,0,0,0,bobcat
944,0,0,0,bobcat
945,0,0,0,bobcat
946,0,0,1,bobcat
947,0,0,0,bobcat
948,0,0,0,bobcat
949,0,0,0,bobcat
950,1,0,0,bobcat
951,0,0,0,bobcat
952,0,0,0,bobcat
953,0,0,0,bobcat
954,0,0,0,bobcat
955,0,0,0,bobcat
956,0,0,0,bobcat
957,0,0,0,bobcat
958,0,0,0,bobcat
959,0,0,0,bobcat
960,0,0,0,bobcat
961,0,1,0,bobcat
962,0,0,1,bobcat
963,0,0,0,bobcat
964,0,0,0,bobcat
965,0,0,0,bobcat
966,0,0,0,bobcat
967,0,0,1,bobcat
968,0,0,0,bobcat
969,0,0,0,bobcat
970,0,0,0,bobcat
971,0,0,0,bobcat
972,0,0,0,bobcat
973,0,0,0,bobcat
974,0,0,0,bobcat
975,0,0,0,bobcat
976,0,0,0,bobcat
977,0,0,0,bobcat
978,0,0,0,bobcat
979,0,0,0,bobcat
980,0,0,0,bobcat
981,1,1,0,bobcat
982,0,0,0,bobcat
983,0,1,0,bobcat
984,1,0,0,bobcat
985,0,0,0,bobcat
986,0,1,1,bobcat
987,0,0,0,bobcat
988,0,0,0,bobcat
989,0,0,1,bobcat
990,0,0,0,bobcat
991,0,0,0,bobcat
992,0,0,0,bobcat
993,1,0,0,bobcat
994,0,0,0,bobcat
995,0,0,1,bobcat
996,0,0,0,bobcat
997,0,0,0,bobcat
998,0,0,0,bobcat
999,0,0,0,bobcat
1000,0,0,0,bobcat
1001,0,0,0,bobcat
1002,0,0,0,bobcat
1003,0,0,0,bobcat
1004,0,0,1,bobcat
1005,0,0,0,bobcat
1006,1,0,0,bobcat
1007,0,0,0,bobcat
1008,0,0,0,bobcat
1009,0,0,1,bobcat
1010,0,0,0,bobcat
1011,0,0,0,bobcat
1012,0,0,0,bobcat
1013,0,0,0,bobcat
1014,0,0,0,bobcat
1015,0,0,0,bobcat
1016,0,0,0,bobcat
1017,1,0,0,bobcat
1018,0,0,0,bobcat
1019,0,0,0,bobcat
1020,0,0,0,bobcat
1021,0,0,0,bobcat
1022,0,0,0,bobcat
1023,0,0,0,bobcat
1024,0,0,0,bobcat
1025,0,0,0,bobcat
1026,0,0,0,bobcat
1027,0,0,0,bobcat
1028,0,0,0,bobcat
1029,0,0,0,bobcat
1030,0,0,0,bobcat
1031,0,0,0,bobcat
1032,0,0,1,bobcat
1033,0,0,0,bobcat
1034,0,0,0,bobcat
1035,0,0,0,bobcat
1036,0,0,0,bobcat
1037,0,1,0,bobcat
1038,0,0,0,bobcat
1039,0,0,0,bobcat
1040,0,0,0,bobcat
1041,0,0,0,bobcat
1042,1,1,0,bobcat
1043,0,0,0,bobcat
1044,0,0,1,bobcat
1045,0,1,0,bobcat
1046,0,0,0,bobcat
1047,0,0,0,bobcat
1048,0,0,0,bobcat
1049,0,0,0,bobcat
1050,0,1,0,bobcat
1051,0,0,0,bobcat
1052,0,1,1,bobcat
1053,0,1,0,bobcat
1054,0,0,0,bobcat
1055,0,0,1,bobcat
1056,0,0,0,bobcat
1057,0,0,0,bobcat
1058,0,0,0,bobcat
1059,0,0,0,bobcat
1060,0,0,0,bobcat
1061,0,0,0,bobcat
1062,0,0,0,bobcat
1063,0,0,0,bobcat
1064,0,0,0,bobcat
1065,0,0,0,bobcat
1066,0,0,0,bobcat
1067,0,0,0,bobcat
